##h
实测值,h1,h2,h3,h4,h5,h6
MaxillaryAnatomy(报告 2),6.0003,5.8744,5.9448,5.9732,5.9652,5.9996
MandibularAnatomy(报告 2),5.9837,5.9068,5.9662,6.0003,5.9583,5.9919
MaxillaryAnatomy(报告 2),6.02,5.8777,5.9479,5.9568,5.9513,6.0126
MandibularAnatomy(报告 2),5.9787,5.9359,5.9658,5.9733,5.9605,5.9883
MaxillaryAnatomy(报告 2),6.0125,5.8488,5.9598,5.9614,5.9535,6.004
MandibularAnatomy(报告 2),5.9903,5.8632,5.9591,5.952,5.9672,6.0139
MaxillaryAnatomy(报告 2),6.0174,5.8594,5.9481,5.9594,5.9606,6.0114
MandibularAnatomy(报告 2),6.0007,5.9338,5.9675,5.9734,5.9541,6.0014
MaxillaryAnatomy(报告 2),5.9961,5.8739,5.975,5.9583,5.9753,5.9825
MandibularAnatomy(报告 2),6.0136,5.8953,5.9729,5.9664,5.9609,6.0004
计算,10,10,10,10,10,10
合计,60.0133,58.8692,59.6071,59.6745,59.6069,60.006
最小,5.9787,5.8488,5.9448,5.9520,5.9513,5.9825
最大,6.0200,5.9359,5.9750,6.0003,5.9753,6.0139
平均,6.0013,5.8869,5.9607,5.9675,5.9607,6.0006
标准偏差,0.0136,0.0287,0.0102,0.0131,0.0068,0.0100
RMS,6.0013,5.8870,5.9607,5.9675,5.9607,6.0006
离散,0.0002,0.0008,0.0001,0.0002,0.0000,0.0001
中间值,6.0005,5.8760,5.9628,5.9639,5.9605,6.0009
##h1
名称,名义值,实测值,偏差,公差
MaxillaryAnatomy(报告 2),6,6.0003,0.0003,±0.05
MandibularAnatomy(报告 2),6,5.9837,-0.0163,±0.05
MaxillaryAnatomy(报告 2),6,6.02,0.02,±0.05
MandibularAnatomy(报告 2),6,5.9787,-0.0213,±0.05
MaxillaryAnatomy(报告 2),6,6.0125,0.0125,±0.05
MandibularAnatomy(报告 2),6,5.9903,-0.0097,±0.05
MaxillaryAnatomy(报告 2),6,6.0174,0.0174,±0.05
MandibularAnatomy(报告 2),6,6.0007,0.0007,±0.05
MaxillaryAnatomy(报告 2),6,5.9961,-0.0039,±0.05
MandibularAnatomy(报告 2),6,6.0136,0.0136,±0.05
计算,,10,10,
合计,,60.0133,0.0133,
最小,,5.9787,-0.0213,
最大,,6.0200,0.0200,
平均,,6.0013,0.0013,
标准偏差,,0.0136,0.0136,
RMS,,6.0013,0.0137,
离散,,0.0002,0.0002,
中间值,,6.0005,0.0005,
##h2
名称,名义值,实测值,偏差,公差
MaxillaryAnatomy(报告 2),6,5.8744,-0.1256,±0.05
MandibularAnatomy(报告 2),6,5.9068,-0.0932,±0.05
MaxillaryAnatomy(报告 2),6,5.8777,-0.1223,±0.05
MandibularAnatomy(报告 2),6,5.9359,-0.0641,±0.05
MaxillaryAnatomy(报告 2),6,5.8488,-0.1512,±0.05
MandibularAnatomy(报告 2),6,5.8632,-0.1368,±0.05
MaxillaryAnatomy(报告 2),6,5.8594,-0.1406,±0.05
MandibularAnatomy(报告 2),6,5.9338,-0.0662,±0.05
MaxillaryAnatomy(报告 2),6,5.8739,-0.1261,±0.05
